deck,result,final_record
4c Loam,-1,
Grixis Delver,1,
Grixis Delver,1,
Dark Bant,1,
Grixis Delver,1,4-1
UWR Standstill,1,
Shardless BUG,-1,
UR Stuff,1,
TES,1,
Grixis Delver,1,4-1
Elves,-1,
RB Reanimator,1,
Burn,1,
ANT,1,
BUG Delver,1,4-1
UW B2B,-1,
RB Reanimator,1,
Shardless BUG,-1,
GB GSZ,1,
Grixis Delver,-1,2-3
Grixis Delver,1,
TES,-1,
4c Cascade,1,
UB Control,1,
Dark Bant,-1,3-2
ANT,-1,
UR Landstill,-1,
D&T,-1,0-3
Aluren,1,
NicFit,1,
Stoneblade,1,
ANT,1,
Grixis Control,1,5-0
Elves,1,
UW Stoneblade,1,
ANT,1,
Goblins,-1,
Grixis Delver,1,4-1
Show&Tell,1,
4c Delver,-1,
Burn,1,
Eldrazi,1,
Grixis Delver,-1,3-2
Aluren,1,
TES,-1,
Jund,1,
Tezzeret,-1,
Grixis Delver,-1,2-3
Lands,-1,
Dredge,-1,
UR Stuff,1,
Miracles,1,
Elves,1,3-2
Burn,1,
Aluren,-1,
Aluren,1,
RedSneak,1,
RB Reanimator,1,4-1
ANT,1,
Elves,1,
UB Reanimator,-1,
Grixis Delver,1,
Miracles,1,4-1
RB Reanimator,1,
BUG Control,1,
Show&Tell,1,
Aluren,-1,
Doomsday,1,4-1
RB Reanimator,1,
Maverick,1,
Dark Bant,-1,
Dark Bant,-1,
Zoo,1,3-2
Tezzeret,1,
Food Chain,1,
UB Standstill,1,
Lands,-1,
Show&Tell,-1,3-2
Grixis Delver,1,
UB Reanimator,1,
RB Reanimator,1,
Maverick,1,
RB Reanimator,1,5-0
Grixis Delver,1,
Burn,1,
Grixis Delver,-1,
Belcher,-1,
BUG Delver,1,3-2
Stoneblade,1,
Veteran BUG,-1,
Burn,1,
ANT,1,
Lands,1,4-1
Grixis Control,-1,
Shardless BUG,1,
NicFit,1,
BUG Delver,-1,
UR Delver,1,3-2
Elves,1,
Grixis Delver,-1,
Lands,1,
4c Loam,1,
DepthsReanimator,-1,3-2
Tezzeret,1,
Lands,-1,
ANT,1,
Burn,1,
GB Depths,-1,3-2
Merfolk,1,
Miracles,1,
Merfolk,1,
Grixis Delver,-1,
4c Loam,-1,3-2
RB Reanimator,1,
Enchantress,1,
Grixis Control,1,
RUG Delver,1,
Maverick,-1,4-1
4c Loam,1,
ANT,-1,
Grixis Delver,1,
Grixis Delver,-1,
4c Loam,1,3-2
Stoneblade,1,
ANT,1,
Miracles,1,
RB Reanimator,-1,
D&T,1,4-1
UW Landstill,1,
D&T,-1,
Grixis Control,1,
BUG Control,1,
Stiflenaught,-1,3-2
Belcher,-1,
DepthsReanimator,-1,
UR Stuff,1,
Grixis Control,-1,1-3
RUG Delver,-1,
4c Cascade,1,
4c Loam,-1,
Tron,1,
4c Control,1,3-2
Lands,-1,
Omnitell,1,
DragonStompy,-1,
ANT,1,
BUG Control,1,3-2
DragonStompy,1,
Grixis Control,1,
Elves,1,
Enchantress,1,
BUG Delver,1,5-0
Miracles,1,
TES,1,
4c Control,-1,
GB Depths,-1,
MonoG Post,1,3-2
4c Control,1,
KnightDelver,-1,
Grixis Control,1,
D&T,1,
Show&Tell,1,4-1
Eldrazi,1,
Elves,1,
ANT,1,
TES,1,
ANT,1,5-0
D&T,1,
TES,1,
Eldrazi,1,
4c Control,1,
Miracles,1,5-0
Sacland Storm,1,
D&T,1,
ANT,-1,
Show&Tell,1,
ANT,1,4-1
Show&Tell,-1,
Grixis Control,-1,
Elves,1,
Esper Junk,-1,1-3
TES,1,
Merfolk,1,
D&T,1,
BUG Delver,-1,
Aluren,1,4-1
Miracles,1,
UW Stoneblade,-1,
Lands,-1,
4c Control,1,
UR Delver,1,3-2
